[[1263.42128085  721.57871915   19.85743236]
 [1179.39326217  805.60673783   51.08740292]
 [1160.38692462  824.61307538   41.79643011]
 [1088.36290861  896.63709139   12.93717206]
 [1025.3418946   959.6581054    30.0400068 ]
 [ 949.31654436 1035.68345564   18.41403717]
 [ 888.29619746 1096.70380254   21.66560592]
 [ 823.27451634 1161.72548366   19.20353615]
 [ 771.25717145 1213.74282855   13.02722658]
 [ 728.51417361 1256.48582639   64.98416471]
 [ 711.23715811 1273.76284189   11.51045215]
 [ 663.22114743 1321.77885257   11.68150449]
 [ 606.20213476 1378.79786524    8.06090938]
 [ 562.18745831 1422.81254169   15.88979365]
 [ 511.17044696 1473.82955304   10.09265057]
 [ 468.15610407 1516.84389593   14.86372234]
 [ 424.14142762 1560.85857238   12.4171826 ]
 [ 379.12641761 1605.87358239   13.97581436]
 [ 336.11207472 1648.88792528    9.75803385]
 [ 299.09973316 1685.90026684    8.8521827 ]]
