[[1263.42128085  725.57871915   23.22518027]
 [1193.39793195  795.60206805   13.24103499]
 [1175.39192795  813.60807205   51.19243372]
 [1148.38292195  840.61707805   36.65265405]
 [1089.36324216  899.63675784   13.59074346]
 [1023.34122748  965.65877252   29.08348404]
 [ 950.31687792 1038.68312208   16.66585455]
 [ 891.29719813 1097.70280187   19.27970173]
 [ 825.27518346 1163.72481654   15.06009983]
 [ 773.25783856 1215.74216144   12.03475149]
 [ 764.2931811  1224.7068189   100.        ]
 [ 712.23749166 1276.76250834   11.61466192]
 [ 664.22148099 1324.77851901   10.89520142]
 [ 608.20280187 1380.79719813   89.82607663]
 [ 564.18812542 1424.81187458   26.0947836 ]
 [ 513.17111408 1475.82888592    8.02703227]
 [ 472.15743829 1516.84256171   15.66143016]
 [ 424.14142762 1564.85857238    9.51336755]
 [ 383.12775183 1605.87224817    7.5449755 ]
 [ 343.11440961 1645.88559039   67.05678233]]
