[[1307.4359573   763.5640427    29.78795021]
 [1223.40793863  847.59206137  100.        ]
 [1106.36891261  964.63108739   24.589184  ]
 [1064.69702855 1006.30297145   94.15754048]
 [1028.34289526 1042.65710474   99.9977177 ]
 [ 951.31721147 1119.68278853   21.36974216]
 [ 882.29419613 1188.70580387  100.        ]
 [ 805.26851234 1265.73148766   17.08357778]
 [ 683.22781855 1387.77218145   17.3024255 ]
 [ 622.20747165 1448.79252835   10.33636302]
 [ 611.20380254 1459.79619746   11.83394938]
 [ 567.18912608 1503.81087392   17.55980935]
 [ 545.18178786 1525.81821214    4.55380637]
 [ 507.16911274 1563.83088726   96.45495307]
 [ 505.16844563 1565.83155437   84.91130755]
 [ 483.1611074  1587.8388926     6.53298517]]
