[[1288.42961975  707.57038025   18.31068989]
 [1224.40827218  771.59172782   23.92697422]
 [1130.37691795  865.62308205   26.37276453]
 [1044.34823215  951.65176785   30.6745845 ]
 [ 963.32121414 1032.67878586   22.20404529]
 [ 882.29419613 1113.70580387   21.41220608]
 [ 829.27651768 1166.72348232   15.73326169]
 [ 742.24749833 1253.75250167   79.85794669]
 [ 688.22948632 1307.77051368  100.        ]
 [ 619.20647098 1376.79352902  100.        ]
 [ 560.18679119 1435.81320881   11.48789811]
 [ 519.17311541 1476.82688459    8.6339948 ]
 [ 513.24619199 1482.75380801   96.52692137]
 [ 495.16511007 1500.83488993    6.79798514]
 [ 471.15710474 1524.84289526    7.799518  ]
 [ 447.1490994  1548.8509006     6.25342998]
 [ 403.13442295 1592.86557705    3.39172185]
 [ 364.12141428 1631.87858572   99.98408245]]
